,Country Name,Continent,Population (Millions),GDP per Capita (PPP),Tax Burden % of GDP,Government Expenditure (% GDP),Unemployment (%),Inflation (%),Public Debt (% of GDP),Literacy (%),Birthrate,Deathrate,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Happiness Rank,Crime Index,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
0,India,Asia,1380.004385,6461.009,6.81,28.156333333333333,7.11,6.195,89.559,59.5,22.01,8.18,63.9,58.16560546764405,70.0,71.0,40.0,40.0,136.0,2.0,24.43,5.3,15.47,26.43,17.56,49.72
1,Pakistan,Asia,220.892331,5150.037,11.38,22.254,4.65,10.741,87.206,45.7,29.74,8.23,49.5,51.577449175816646,65.9,65.8,60.0,40.0,72.07913669064749,5.0,19.92,3.91,12.42,17.81,15.54,26.63
2,Nigeria,Africa,206.139587,5186.766,6.3,12.481333333333334,9.01,13.247,35.054,68.0,40.43,16.94,41.2,73.55591939003996,67.5,68.6,45.0,40.0,118.0,6.0,30.49,35.99,33.07,33.65,20.92,9.34
3,Brazil,America,212.559409,14916.285,33.1,39.24699999999999,13.67,3.212,98.943,86.4,16.56,6.17,63.2,55.92339082395855,78.4,60.0,60.0,50.0,38.0,7.0,33.24,8.27,21.54,28.16,25.24,27.85
4,Bangladesh,Asia,164.689383,5307.243,7.69,15.015333333333333,5.3,5.648,38.855,43.1,29.8,8.27,55.6,36.578414178601186,70.0,63.8,50.0,40.0,94.0,8.0,33.13,4.42,19.67,30.41,21.7,25.3
5,Mexico,America,128.932753,19130.104,16.47,26.872666666666664,4.71,3.399,60.589,92.2,20.69,4.74,69.2,58.3533559359124,73.0,76.6,75.0,60.0,46.0,10.0,35.35,12.55,24.66,34.82,32.67,38.62
6,Ethiopia,Africa,114.963583,2908.295,6.7,15.307,2.79,20.354,55.263,42.7,37.98,14.86,42.7,38.83156983193212,57.7,61.4,30.0,20.0,131.0,12.0,47.49,16.88,33.14,36.68,18.03,10.15
7,Egypt,Africa,102.334403,12789.913,16.7,28.482666666666663,10.45,5.7,90.186,57.7,22.94,5.23,54.1,32.890999055809196,70.9,60.2,65.0,50.0,129.0,14.0,29.52,5.82,18.41,27.42,23.42,21.54
8,Taiwan ,Asia,23.6,55723.903,9.0,17.638333333333332,4.54,-0.17,33.67,96.1,12.56,6.48,84.3,68.74862321502563,86.1,86.0,70.0,60.0,26.0,15.46,62.35,17.69,41.42,76.19,29.42,58.35
9,Iran,Asia,83.992953,13073.18,8.4,15.799333333333335,10.96,36.5,42.768,79.4,17.0,5.55,38.9,49.4076394957263,42.3,59.2,5.0,10.0,110.0,17.0,37.39,17.05,27.85,29.46,25.18,17.98
10,Turkey,Asia,84.339067,30252.675,23.08,34.73933333333333,13.92,12.279,36.765,86.5,16.62,5.97,63.4,47.091986894262824,61.9,75.6,70.0,60.0,112.0,18.0,28.31,6.63,18.15,22.64,18.4,32.88
11,Switzerland,Europe,8.636896,72873.716,28.53,33.08233333333333,4.94,-0.726,42.949,99.0,9.71,8.49,84.3,59.97651250118754,84.9,86.6,85.0,90.0,4.0,21.62,123.35,53.54,90.62,128.13,122.09,118.44
12,Tanzania,Africa,59.734213,2820.598,11.7,16.470000000000002,2.16,3.0,38.182,78.2,37.71,16.39,46.3,61.96130623944783,73.8,59.8,55.0,50.0,139.0,22.0,32.81,12.36,23.23,30.04,24.86,15.97
13,Japan,Asia,125.836021,42248.002,32.03,39.778999999999996,2.97,-0.017,256.217,99.0,9.37,9.16,78.3,66.62346897767917,87.1,75.4,60.0,60.0,54.0,22.19,77.03,25.86,53.04,81.31,45.4,87.11
14,Slovenia,Europe,2.100126,38807.008,37.65,46.038333333333334,5.17,-0.051,81.452,99.7,8.98,10.31,79.7,63.32639746046401,85.1,79.2,70.0,50.0,22.0,22.28,53.88,17.9,37.01,47.71,46.74,59.48
15,Armenia,Asia,2.963234,13261.333,22.51,26.533666666666665,20.21,1.23,62.787,98.6,12.07,8.23,64.9,47.225439883145505,77.5,73.6,75.0,70.0,82.0,22.79,33.89,11.61,23.45,27.59,30.55,28.86
16,Georgia,Asia,3.714,14917.601,22.22,30.167999999999996,12.05,5.202,60.621,99.0,10.41,9.23,74.1,61.92584670406189,76.0,86.6,80.0,70.0,105.0,23.38,30.18,9.26,20.37,26.44,27.88,31.15
17,Estonia,Europe,1.331057,37745.14,33.07,41.49033333333333,6.46,-0.634,18.498,99.8,10.04,13.25,86.9,61.05648837894722,82.8,79.2,90.0,70.0,36.0,23.71,53.68,16.37,36.19,42.29,56.43,63.46
18,Iceland,Europe,0.366425,55965.786,36.08,45.89000000000001,5.01,2.851,79.867,99.9,13.64,6.72,83.3,67.39567908403582,79.3,81.0,80.0,70.0,3.0,23.75,94.86,41.93,70.05,90.22,99.42,77.06
19,South Africa,Africa,59.30869,12032.412,29.1,32.63166666666667,28.74,3.268,77.064,86.4,18.2,22.0,65.7,71.06949757569096,78.0,72.2,45.0,50.0,91.0,24.0,42.09,16.6,30.14,34.78,41.33,78.36
20,Croatia,Europe,4.0472,27717.422,22.2,49.560333333333325,7.2,0.258,87.207,98.5,9.61,11.48,72.4,58.68031437784912,80.5,79.2,75.0,60.0,47.0,24.59,48.94,13.38,32.27,41.98,41.29,47.55
21,Czech Republic,Europe,10.698896,40618.05,34.93,42.935,2.94,3.161,37.57,99.9,9.02,10.59,80.6,56.49667785948896,79.0,79.2,70.0,80.0,18.0,25.52,48.24,18.4,34.25,42.76,36.72,66.47
22,Austria,Europe,8.917205,55218.46,42.44,51.55766666666667,5.77,1.391,85.224,98.0,8.74,9.76,82.3,78.35993152253015,82.3,79.2,80.0,70.0,11.0,25.54,71.04,27.13,50.46,65.88,66.03,77.25
23,Denmark,Europe,5.831404,58932.766,46.34,51.27333333333333,5.66,0.333,43.42,100.0,11.13,10.36,89.0,64.3828417787064,85.7,79.2,90.0,80.0,2.0,26.22,84.12,33.23,60.26,68.6,98.75,99.45
24,"Korea, South",Asia,51.780579,44620.992,27.4,22.709333333333333,4.07,0.537,48.681,17800.0,3.0,10.0,84.8,55.62420120409905,85.2,73.0,60.0,60.0,59.0,26.68,73.22,20.02,48.28,91.95,42.1,76.85
25,Kenya,Africa,53.7713,4925.519,17.4,24.38533333333333,2.98,5.29,68.687,85.1,39.72,14.02,56.1,56.79263760180156,75.5,56.0,55.0,50.0,119.0,27.0,33.92,8.73,22.11,31.27,28.82,32.18
26,Netherlands,Europe,17.441139,57534.173,39.33,42.65533333333333,4.09,1.117,53.971,99.0,10.9,8.68,88.1,58.85056192769002,82.1,79.2,90.0,80.0,5.0,27.16,75.66,36.06,57.1,65.49,76.35,87.99
27,Finland,Europe,5.530719,49853.326,42.19,54.562999999999995,7.83,0.383,67.098,100.0,10.45,9.86,88.7,65.06021335301129,84.9,79.2,85.0,80.0,1.0,27.59,73.2,25.95,51.05,65.16,77.65,91.02
28,Singapore,Asia,5.685807,97056.534,13.2,18.164666666666665,5.19,-0.182,128.371,92.5,9.34,4.28,83.1,77.03038639614736,86.5,95.0,85.0,80.0,27.0,27.96,83.98,66.43,75.75,77.08,61.17,91.34
29,Colombia,America,50.882884,14323.895,19.68,33.651999999999994,15.44,2.522,62.787,92.5,20.48,5.58,68.8,60.72974499756009,79.3,76.4,80.0,70.0,66.0,28.0,26.72,8.18,18.03,23.47,19.44,28.85
30,Romania,Europe,19.286123,30526.307,14.6,34.68066666666667,4.84,2.646,50.105,98.4,10.7,11.77,71.4,64.07311323926623,78.8,79.2,70.0,50.0,28.0,28.3,35.24,10.17,23.49,31.38,30.02,48.12
31,Cuba,America,11.326616,12600.0,42.0,65.9,3.87,21.670460674157297,69.4,97.0,11.89,7.22,41.1,20.0,61.8,64.0,10.0,10.0,72.07913669064749,28.33,55.0,15.23,36.36,47.93,33.54,1.45
